"Codigo","Empresa","Nome_indice","Valor_indice","Classe","Setor","Subsetor","VolumeNeg"
"RRRP3","3r Petroleum","LC",NA,"ON","Petróleo gás e biocombustíveis","Petróleo gás e biocombustíveis",296.646538
"RRRP3","3r Petroleum","LC",5.4640623763,"ON","Petróleo gás e biocombustíveis","Petróleo gás e biocombustíveis",296.646538
"RRRP3","3r Petroleum","LC",3.1444113536,"ON","Petróleo gás e biocombustíveis","Petróleo gás e biocombustíveis",296.646538
"RRRP3","3r Petroleum","LC",2.7144976626,"ON","Petróleo gás e biocombustíveis","Petróleo gás e biocombustíveis",296.646538
"RRRP3","3r Petroleum","LC",6.7401123036,"ON","Petróleo gás e biocombustíveis","Petróleo gás e biocombustíveis",296.646538
"RRRP3","3r Petroleum","LS",NA,"ON","Petróleo gás e biocombustíveis","Petróleo gás e biocombustíveis",296.646538
"RRRP3","3r Petroleum","LS",5.4640623763,"ON","Petróleo gás e biocombustíveis","Petróleo gás e biocombustíveis",296.646538
"RRRP3","3r Petroleum","LS",3.1444113536,"ON","Petróleo gás e biocombustíveis","Petróleo gás e biocombustíveis",296.646538
"RRRP3","3r Petroleum","LS",2.7144976626,"ON","Petróleo gás e biocombustíveis","Petróleo gás e biocombustíveis",296.646538
"RRRP3","3r Petroleum","LS",6.6986228397,"ON","Petróleo gás e biocombustíveis","Petróleo gás e biocombustíveis",296.646538
"RRRP3","3r Petroleum","LG",NA,"ON","Petróleo gás e biocombustíveis","Petróleo gás e biocombustíveis",296.646538
"RRRP3","3r Petroleum","LG",0.86958428861,"ON","Petróleo gás e biocombustíveis","Petróleo gás e biocombustíveis",296.646538
"RRRP3","3r Petroleum","LG",0.88762120061,"ON","Petróleo gás e biocombustíveis","Petróleo gás e biocombustíveis",296.646538
"RRRP3","3r Petroleum","LG",0.81862938535,"ON","Petróleo gás e biocombustíveis","Petróleo gás e biocombustíveis",296.646538
"RRRP3","3r Petroleum","LG",0.77432352291,"ON","Petróleo gás e biocombustíveis","Petróleo gás e biocombustíveis",296.646538
"RRRP3","3r Petroleum","PME",NA,"ON","Petróleo gás e biocombustíveis","Petróleo gás e biocombustíveis",296.646538
"RRRP3","3r Petroleum","PME",0,"ON","Petróleo gás e biocombustíveis","Petróleo gás e biocombustíveis",296.646538
"RRRP3","3r Petroleum","PME",0,"ON","Petróleo gás e biocombustíveis","Petróleo gás e biocombustíveis",296.646538
"RRRP3","3r Petroleum","PME",0,"ON","Petróleo gás e biocombustíveis","Petróleo gás e biocombustíveis",296.646538
"RRRP3","3r Petroleum","PME",16.099778792,"ON","Petróleo gás e biocombustíveis","Petróleo gás e biocombustíveis",296.646538
"RRRP3","3r Petroleum","PMF",NA,"ON","Petróleo gás e biocombustíveis","Petróleo gás e biocombustíveis",296.646538
"RRRP3","3r Petroleum","PMF",83.08875032,"ON","Petróleo gás e biocombustíveis","Petróleo gás e biocombustíveis",296.646538
"RRRP3","3r Petroleum","PMF",132.79601306,"ON","Petróleo gás e biocombustíveis","Petróleo gás e biocombustíveis",296.646538
"RRRP3","3r Petroleum","PMF",17.471149648,"ON","Petróleo gás e biocombustíveis","Petróleo gás e biocombustíveis",296.646538
"RRRP3","3r Petroleum","PMF",76.059679013,"ON","Petróleo gás e biocombustíveis","Petróleo gás e biocombustíveis",296.646538
"RRRP3","3r Petroleum","PMR",NA,"ON","Petróleo gás e biocombustíveis","Petróleo gás e biocombustíveis",296.646538
