codigo;empresa
^BVSP;Índice Bovespa
MGLU3.SA;Magazine Luiza S.A.
RADL3.SA;Raia Drogasil S.A.
TIMP3.SA;TIMP3.SA
EQTL3.SA;Equatorial Energia S.A.
CMIG4.SA;Companhia Energética de Minas Gerais
JBSS3.SA;JBS S.A.
PETR4.SA;Petróleo Brasileiro S.A. - Petrobras
BBAS3.SA;Banco do Brasil S.A.
PETR3.SA;Petróleo Brasileiro S.A. - Petrobras
BBSE3.SA;BB Seguridade Participações S.A.
KLBN11.SA;Klabin S.A.
SBSP3.SA;Companhia de Saneamento Básico do Estado de São Paulo - SABESP
BRKM5.SA;Braskem S.A.
OIBR4.SA;Oi S.A.
ITSA4.SA;Itaúsa - Investimentos Itaú SA
ENBR3.SA;EDP - Energias do Brasil S.A.
BBDC4.SA;Banco Bradesco S.A.
BBDC3.SA;Banco Bradesco S.A.
ECOR3.SA;EcoRodovias Infraestrutura e Logística S.A.
USIM5.SA;Usinas Siderúrgicas de Minas Gerais S.A.
CCRO3.SA;CCR S.A.
VALE5.SA;VALE5.SA
UGPA3.SA;Ultrapar Participações S.A.
PCAR4.SA;PCAR4.SA
TBLE3.SA;TBLE3.SA
BRML3.SA;BR Malls Participações S.A.
LREN3.SA;Lojas Renner S.A.
MULT3.SA;Multiplan Empreendimentos Imobiliários S.A.
LAME4.SA;Lojas Americanas S.A.
VIVT4.SA;VIVT4.SA
