"","Nome","Classe","Codigo","Setor","Subsetor","VolNegAno","PatrLiquid","Nome_indice","Valor_indice","Ano"
"1","3r Petroleum","ON","RRRP3","Petróleo gás e biocombustíveis","Petróleo gás e biocombustíveis",297,1077,"PrecoLucro",NA,"2016"
"2","3r Petroleum","ON","RRRP3","Petróleo gás e biocombustíveis","Petróleo gás e biocombustíveis",297,1077,"PrecoLucro",NA,"2017"
"3","3r Petroleum","ON","RRRP3","Petróleo gás e biocombustíveis","Petróleo gás e biocombustíveis",297,1077,"PrecoLucro",NA,"2018"
"4","3r Petroleum","ON","RRRP3","Petróleo gás e biocombustíveis","Petróleo gás e biocombustíveis",297,1077,"PrecoLucro",NA,"2019"
"5","3r Petroleum","ON","RRRP3","Petróleo gás e biocombustíveis","Petróleo gás e biocombustíveis",297,1077,"PrecoLucro",-3.5,"2020"
"6","3r Petroleum","ON","RRRP3","Petróleo gás e biocombustíveis","Petróleo gás e biocombustíveis",297,1077,"PrecoLucro",-17.4,"2021"
"7","3r Petroleum","ON","RRRP3","Petróleo gás e biocombustíveis","Petróleo gás e biocombustíveis",297,1077,"Preco_ValorPatrim",NA,"2016"
"8","3r Petroleum","ON","RRRP3","Petróleo gás e biocombustíveis","Petróleo gás e biocombustíveis",297,1077,"Preco_ValorPatrim",NA,"2017"
"9","3r Petroleum","ON","RRRP3","Petróleo gás e biocombustíveis","Petróleo gás e biocombustíveis",297,1077,"Preco_ValorPatrim",NA,"2018"
"10","3r Petroleum","ON","RRRP3","Petróleo gás e biocombustíveis","Petróleo gás e biocombustíveis",297,1077,"Preco_ValorPatrim",NA,"2019"
"11","3r Petroleum","ON","RRRP3","Petróleo gás e biocombustíveis","Petróleo gás e biocombustíveis",297,1077,"Preco_ValorPatrim",3.8,"2020"
"12","3r Petroleum","ON","RRRP3","Petróleo gás e biocombustíveis","Petróleo gás e biocombustíveis",297,1077,"Preco_ValorPatrim",2.3,"2021"
"13","3r Petroleum","ON","RRRP3","Petróleo gás e biocombustíveis","Petróleo gás e biocombustíveis",297,1077,"PrecoVendas",NA,"2016"
"14","3r Petroleum","ON","RRRP3","Petróleo gás e biocombustíveis","Petróleo gás e biocombustíveis",297,1077,"PrecoVendas",NA,"2017"
"15","3r Petroleum","ON","RRRP3","Petróleo gás e biocombustíveis","Petróleo gás e biocombustíveis",297,1077,"PrecoVendas",NA,"2018"
"16","3r Petroleum","ON","RRRP3","Petróleo gás e biocombustíveis","Petróleo gás e biocombustíveis",297,1077,"PrecoVendas",NA,"2019"
"17","3r Petroleum","ON","RRRP3","Petróleo gás e biocombustíveis","Petróleo gás e biocombustíveis",297,1077,"PrecoVendas",4.5,"2020"
"18","3r Petroleum","ON","RRRP3","Petróleo gás e biocombustíveis","Petróleo gás e biocombustíveis",297,1077,"PrecoVendas",5.4,"2021"
"19","3r Petroleum","ON","RRRP3","Petróleo gás e biocombustíveis","Petróleo gás e biocombustíveis",297,1077,"PrecoEBITDA",NA,"2016"
"20","3r Petroleum","ON","RRRP3","Petróleo gás e biocombustíveis","Petróleo gás e biocombustíveis",297,1077,"PrecoEBITDA",NA,"2017"
"21","3r Petroleum","ON","RRRP3","Petróleo gás e biocombustíveis","Petróleo gás e biocombustíveis",297,1077,"PrecoEBITDA",NA,"2018"
"22","3r Petroleum","ON","RRRP3","Petróleo gás e biocombustíveis","Petróleo gás e biocombustíveis",297,1077,"PrecoEBITDA",NA,"2019"
